nombre,codigo_centro,titularidad,tipo_centro,etapas,dificil_desempeño,lat,lng,zona,direccion,cp,municipio,provincia,telefono,fax,email,web,horario,jornada_partida,bilingüe
A.E.P.A. Alburquerque,6007156,Centro Público,Aula de Educación de Personas Adultas (AEPA),Enseñanzas Iniciales (Nivel I y II) / Educación Secundaria para Personas Adultas (ESPA) / Preparación de pruebas libres de Graduado en ESO o Bachillerato / Pruebas de acceso a ciclos formativos o universidad para mayores,No,39.21986,-6.99704,1,"Monjas, S / N",06510,Alburquerque,Badajoz,924015578,924015578,aepa.alburquerque@edu.juntaex.es,https://aepaalburquerque.educarex.es,Mañana,No,No
A.E.P.A. Burguillos del Cerro,6007259,Centro Público,Aula de Educación de Personas Adultas (AEPA),Enseñanzas Iniciales (Nivel I y II) / Educación Secundaria para Personas Adultas (ESPA) / Preparación de pruebas libres de Graduado en ESO o Bachillerato / Pruebas de acceso a ciclos formativos o universidad para mayores,No,38.37927,-6.58851,4,"Plaza Gabriel y Galán, 3",06370,Burguillos del Cerro,Badajoz,924029992,924029993,aepa.burguillosdelcerro@edu.juntaex.es,https://,Mañana,No,No
A.E.P.A. Cabeza del Buey,6011020,Centro Público,Aula de Educación de Personas Adultas (AEPA),Enseñanzas Iniciales (Nivel I y II) / Educación Secundaria para Personas Adultas (ESPA) / Preparación de pruebas libres de Graduado en ESO o Bachillerato / Pruebas de acceso a ciclos formativos o universidad para mayores,No,38.72383,-5.21613,3,"Maestre Yañez,9",06600,Cabeza del Buey,Badajoz,924600822,924020521,aepa.cabezadelbuey@edu.juntaex.es,https://,Mañana,No,No
A.E.P.A. Fregenal de la Sierra,6007296,Centro Público,Aula de Educación de Personas Adultas (AEPA),Enseñanzas Iniciales (Nivel I y II) / Educación Secundaria para Personas Adultas (ESPA) / Preparación de pruebas libres de Graduado en ESO o Bachillerato / Pruebas de acceso a ciclos formativos o universidad para mayores,No,38.16627,-6.65577,4,Álamo S / N,06340,Fregenal de la Sierra,Badajoz,924022454,924022455,aepa.fregenalsierra@edu.juntaex.es,https://,Mañana,No,No
A.E.P.A. Fuente de Cantos,6007314,Centro Público,Aula de Educación de Personas Adultas (AEPA),Enseñanzas Iniciales (Nivel I y II) / Educación Secundaria para Personas Adultas (ESPA) / Preparación de pruebas libres de Graduado en ESO o Bachillerato / Pruebas de acceso a ciclos formativos o universidad para mayores,No,38.24846,-6.30268,4,"Paseo Extremadura, s/n",06240,Fuente de Cantos,Badajoz,924580430,0,aepa.fuentedecantos@edu.juntaex.es,https://,Mañana,No,No
A.E.P.A. Fuente del Maestre,6007201,Centro Público,Aula de Educación de Personas Adultas (AEPA),Enseñanzas Iniciales (Nivel I y II) / Educación Secundaria para Personas Adultas (ESPA) / Preparación de pruebas libres de Graduado en ESO o Bachillerato / Pruebas de acceso a ciclos formativos o universidad para mayores,No,38.64357,-6.48145,4,"Calle Sevilla, s/n",06360,Fuente del Maestre,Badajoz,924028760,0,aepa.fuentedelmaestre@edu.juntaex.es,https://,Mañana,No,No
A.E.P.A. Guareña,6011032,Centro Público,Aula de Educación de Personas Adultas (AEPA),Enseñanzas Iniciales (Nivel I y II) / Educación Secundaria para Personas Adultas (ESPA) / Preparación de pruebas libres de Graduado en ESO o Bachillerato / Pruebas de acceso a ciclos formativos o universidad para mayores,No,38.86289,-6.10541,2,"Avda. De San Ginés, s/n",06470,Guareña,Badajoz,924350724,924352008,aepa.guarena@edu.juntaex.es,https://,Mañana,No,No
A.E.P.A. Herrera del Duque,6007341,Centro Público,Aula de Educación de Personas Adultas (AEPA),Enseñanzas Iniciales (Nivel I y II) / Educación Secundaria para Personas Adultas (ESPA) / Preparación de pruebas libres de Graduado en ESO o Bachillerato / Pruebas de acceso a ciclos formativos o universidad para mayores,No,39.16837,-5.04869,3,"Cantarranas, 62",06670,Herrera del Duque,Badajoz,924019730,924019731,aepa.herreradelduque@edu.juntaex.es,https://aepaherreraduque.educarex.es,Mañana,No,No
A.E.P.A. Llerena,6007302,Centro Público,Aula de Educación de Personas Adultas (AEPA),Enseñanzas Iniciales (Nivel I y II) / Educación Secundaria para Personas Adultas (ESPA) / Preparación de pruebas libres de Graduado en ESO o Bachillerato / Pruebas de acceso a ciclos formativos o universidad para mayores,No,38.24155,-6.01557,4,"Avda. Jesús de Nazaret, S / N",06900,Llerena,Badajoz,924026534,0,aepa.llerena@edu.juntaex.es,https://,Mañana,No,No
A.E.P.A. Navalvillar de Pela,6007351,Centro Público,Aula de Educación de Personas Adultas (AEPA),Enseñanzas Iniciales (Nivel I y II) / Educación Secundaria para Personas Adultas (ESPA) / Preparación de pruebas libres de Graduado en ESO o Bachillerato / Pruebas de acceso a ciclos formativos o universidad para mayores,No,39.09128,-5.46611,3,"Fabrica, 8",06760,Navalvillar de Pela,Badajoz,924021625,924021626,aepa.navalvillardepela@edu.juntaex.es,https://,Mañana,No,No
