municipio,provincia,festivo1_fecha,festivo1_nombre,festivo2_fecha,festivo2_nombre
Badajoz,Badajoz,11 de febrero,,24 de junio,
Acedera,Badajoz,6 de abril,,7 de septiembre,
Aceuchal,Badajoz,15 de mayo,,9 de septiembre,
Ahillones,Badajoz,15 de mayo,,14 de septiembre,
Alange,Badajoz,15 de mayo,,12 de septiembre,
Albuera (La),Badajoz,15 de mayo,,14 de agosto,
Alburquerque,Badajoz,22 de mayo,,9 de septiembre,
Alconchel,Badajoz,18 de mayo,,14 de agosto,
Alconera,Badajoz,29 de abril,,30 de abril,
Aljucén,Badajoz,24 de agosto,,30 de noviembre,
Almendral,Badajoz,15 de enero,,17 de abril,
Almendralejo,Badajoz,25 de abril,,14 de agosto,
Almorchón,Badajoz,17 de febrero,,29 de septiembre,
Arroyo de San Serván,Badajoz,2 de mayo,,4 de mayo,
Atalaya,Badajoz,15 de mayo,,5 de agosto,
Azuaga,Badajoz,6 de abril,,15 de mayo,
Barbaño,Badajoz,15 de mayo,,7 de agosto,
Barcarrota,Badajoz,20 de abril,,11 de septiembre,
Baterno,Badajoz,20 de agosto,,30 de noviembre,
Bazana (La),Badajoz,15 de mayo,,,
Benquerencia de la Serena,Badajoz,2 de febrero,,19 de marzo,
Berlanga,Badajoz,15 de mayo,,21 de agosto,
Bienvenida,Badajoz,15 de mayo,,10 de agosto,
Bodonal de la Sierra,Badajoz,3 de febrero,,15 de mayo,
Brovales,Badajoz,8 de septiembre,,,
Burguillos del Cerro,Badajoz,15 de mayo,,14 de septiembre,
Cabeza del Buey,Badajoz,17 de febrero,,29 de septiembre,
Cabez la Vaca,Badajoz,10 de julio,,30 de octubre,
Calamonte,Badajoz,19 de marzo,,15 de mayo,
Calera de León,Badajoz,15 de mayo,,10 de septiembre,
Calzadilla de los Barros,Badajoz,25 de marzo,,15 de mayo,
Campanario,Badajoz,6 de abril,,30 de abril,
Campillo de Llerena,Badajoz,15 de mayo,,10 de agosto,
Capilla,Badajoz,24 de julio,,14 de agosto,
Carmonita,Badajoz,22 de julio,,14 de septiembre,
Carrascalejo (El),Badajoz,25 de mayo,,3 de agosto,
Casas de Don Pedro,Badajoz,15 de mayo,,24 de junio,
Casas de Reina,Badajoz,4 de mayo,,10 de agosto,
Castilblanco,Badajoz,3 de agosto,,11 de septiembre,
Castuera,Badajoz,2 de febrero,,15 de mayo,
Cheles,Badajoz,14 de septiembre,,15 de septiembre,
Codosera (La),Badajoz,24 de junio,,7 de agosto,
Cordobilla de Lácara,Badajoz,4 de mayo,,6 de agosto,
Coronada (La),Badajoz,6 de abril,,25 de agosto,
